Image ID,Ground Truth LaTeX,基线模型-预测,基线模型-质量(10分制),基线模型-耗时(秒),微调模型-预测,DeepSeek-OCR-预测,微调模型-质量(10分制),DeepSeek-质量(10分制),微调模型-耗时(秒),DeepSeek-耗时(秒),备注,,基线,微调,deepseek
test_01535,"\delta | \Phi ^ { ( n ) } \rangle \ = { \cal Q } | \Phi ^ { ( n + 1 ) } \rangle \ ,","\[\begin{array}{r}{\delta[\Phi^{(n)}~=~\mathcal{Q}[\Phi^{(n+1)}~)~,~}\end{array}\]",,1.445,"\[\begin{array}{r}{\delta[\Phi^{(n)}~=~\mathcal Q[\Phi^{(n+1)}~)~,~}\end{array}\]","\delta | \Phi^{(n)} \rangle = \mathcal{Q} | \Phi^{(n+1)} \rangle \, ,",,,1.431,6.828,,,6,6,10
test_03582,"P ^ { ( N ) } ( \sigma ) = \sum _ { R \in Y _ { n } ^ { N } } \frac { d _ { R } } { n ! } N ^ { n - K _ { \sigma } } \chi _ { R } ( \sigma ) ,","\[P^{(N)}(\sigma)=\sum_{R\in Y_{n}^{N}}\frac{d_{R}}{\,\eta!}\,N^{n-K_{\sigma}}\chi_{R}(\sigma),\]",,1.631,"\[P^{(N)}(\sigma)=\sum_{R\in Y_{n}^{N}}\frac{d_{R}}{n!}N^{n-K_{\sigma}}\chi_{R}(\sigma),\]","P^{(N)}(\sigma) = \sum_{R \in Y_n^N} \frac{d_R}{n!} N^{n-K_\sigma} \chi_R(\sigma),",,,1.577,8.274,,,8,9.5,10
test_03811,R \vert V _ { N } \rangle = ( - 1 ) ^ { N } \vert V _ { - N } \rangle .,\[R|V_{N}\rangle\equiv\{-1\}^{N}|V_{-N}\rangle.\],,1.164,\[R|V_{N}\rangle\equiv\{-1\}^{N}|V_{-N}\rangle.\],R|V_N\rangle = (-1)^N|V_{-N}\rangle.,,,1.169,5.993,,,7,7,10
test_08279,\begin{array} { c c } { \hat { M } _ { 0 } ( z ) Z _ { 0 } = Z _ { 0 } H ( z ) } & { H ( z ) = \left( \begin{array} { c c } { \tilde { \hat { \omega } } ( z ) - \frac { 1 } { 2 } \hat { \lambda } ( z ) } & { 2 \hat { \rho } ^ { j } ( z ) } \\ { 0 } & { \hat { T } _ { i } ^ { j } ( z ) } \\ \end{array} \right) } \\ \end{array},\[\begin{array}{r}{\tilde{M}_{0}(z)Z_{0}=Z_{0}H(z)\quad H(z)=\left(\begin{array}{c c}{\tilde{\phi}(z)-\frac{1}{2}\tilde{\lambda}(z)}&{2\hat{\rho}^{2}(z)}\\ {0}&{\hat{\mathcal{T}}_{i}^{\tilde{\delta}}(z)}\end{array}\right)}\end{array}\],,1.246,\[\begin{array}{r}{\tilde{M}_{0}(z)Z_{0}=Z_{0}H(z)\quad H(z)=\left(\begin{array}{c c}{\tilde{\phi}(z)-\frac{1}{2}\tilde{\lambda}(z)}&{2\hat{\rho}^{2}(z)}\\ {0}&{\hat{\mathcal{T}}_{i}^{\tilde{3}}(z)}\end{array}\right)}\end{array}\],\hat{M}_0(z)Z_0 = Z_0H(z) \quad H(z) = \begin{pmatrix} \tilde{\omega}(z) - \frac{1}{2}\tilde{\lambda}(z) & 2\hat{\rho}^j(z) \\ 0 & \hat{T}_i^j(z) \end{pmatrix},,,1.616,12.125,,,5,5,10
test_00434,"\rho _ { 1 } \phi _ { 1 } = \rho _ { 2 } \phi _ { 2 } ,","\[\rho_{1}\phi_{1}=\rho_{2}\phi_{2},\]",,0.386,"\[\rho_{1}\phi_{1}=\rho_{2}\phi_{2},\]","\rho_1 \phi_1 = \rho_2 \phi_2,",,,0.407,6.012,,,10,10,10
test_09195,{ \frac { H } { M } } \approx 0 . 2 1 ( 1 0 ^ { 1 0 } P _ { k } ^ { S } ) ^ { 1 / 8 } \left( { \frac { L } { 6 0 } } \right) ^ { 1 / 4 } \left( { \frac { m } { M } } \right) ^ { 1 / 2 } .,\[\frac{H}{M}\approx0.21(10^{10}P_{k}^{S})^{1/8}\left(\frac{L}{60}\right)^{1/4}\left(\frac{\mathfrak{m}}{\overline{{M}}}\right)^{1/2}.\],,0.796,\[\frac{H}{M}\approx0.21(10^{10}P_{k}^{S})^{1/8}\left(\frac{L}{60}\right)^{1/4}\left(\frac{\mathfrak{m}}{\overline{{M}}}\right)^{1/2}.\],\frac{H}{M} \approx 0.21 (10^{10} P_k^S)^{1/8} \left( \frac{L}{60} \right)^{1/4} \left( \frac{m}{M} \right)^{1/2}.,,,0.794,9.91,,,7,7,10
test_03257,"\delta E ^ { a b } = \left( i \gamma _ { P } \gamma ^ { \lambda } J _ { \lambda } ^ { a b } + \Phi ^ { a b } \right) \epsilon ,","\[\delta E^{a b}\equiv\left(\dot{q}\gamma_{P}\gamma^{\lambda}J_{\lambda}^{a b}+\Phi^{a b}\right)\epsilon,\]",,1.229,"\[\delta E^{a b}\equiv\left(\dot{q}\gamma P\gamma^{\lambda}J_{\lambda}^{a b}+\Phi^{a b}\right)\epsilon,\]","\delta E^{ab} = \left( i \gamma_P \gamma^\lambda J_\lambda^{ab} + \Phi^{ab} \right) \epsilon,",,,0.601,7.34,,,4,4,10
test_08928,\gamma ^ { i } \partial _ { i } = \gamma ^ { r } [ \partial _ { r } + { \frac { p } { 2 r } } ] + { \frac { 1 } { r } } ( \gamma ^ { i } \nabla _ { i } ) _ { T },\[\gamma^{i}\partial_{i}=\gamma^{r}[\partial_{r}+\frac{p}{2r^{2}}]+\frac{1}{r}(\gamma^{i}\nabla_{i})_{T}\],,1.652,\[\gamma^{i}\partial_{i}=\gamma^{r}[\partial_{r}+\frac{p}{2r^{i}}]+\frac{1}{r}(\gamma^{i}\nabla_{i})_{T}\],\gamma^i \partial_i = \gamma^r [\partial_r + \frac{p}{2r}] + \frac{1}{r} (\gamma^i \nabla_i) \tau,,,1.649,7.908,,,6,6,9
test_06873,"\alpha _ { i } ^ { - 1 } ( \mu ) = \alpha ^ { - 1 } + { \frac { b _ { i } } { 2 \pi } } \ln \left( { \frac { M _ { s } } { \mu } } \right) + \Delta _ { i } ,",\[\alpha_{i}^{-1}(\mu)=\alpha^{-1}+\frac{b_{i}}{2\pi}\ln\left(\frac{M_{\mathrm{g}}}{\mu}\right)+\Delta_{i_{1}}\],,1.709,\[\alpha_{i}^{-1}(\mu)=\alpha^{-1}+\frac{b_{i}}{2\pi}\ln\left(\frac{M_{\mathrm{g}}}{\mu}\right)+\Delta_{i j}\],"\alpha_i^{-1}(\mu) = \alpha^{-1} + \frac{b_i}{2\pi} \ln \left( \frac{M_s}{\mu} \right) + \Delta_i,",,,1.642,7.995,,,7,7,10
test_03611,S = 4 \pi M ^ { 2 } \biggl ( 1 + \lambda \frac { 1 } { M ^ { 2 } } + \lambda ^ { 2 } \frac { 7 3 } { 1 2 0 } \frac { 1 } { M ^ { 4 } } \biggr ) .,\[S=4\pi M^{2}\left(1+\lambda\frac{1}{\mathcal{M}^{2}}+\lambda^{2}\frac{73}{120}\frac{1}{\mathcal{M}^{4}}\right)\!.\],,1.847,\[S=4\pi M^{2}\left(1+\lambda\frac{1}{\mathcal{M}^{2}}+\lambda^{2}\frac{73}{120}\frac{1}{M^{4}}\right)\!.\],S = 4\pi M^2 \left( 1 + \lambda \frac{1}{M^2} + \lambda^2 \frac{73}{120} \frac{1}{M^4} \right).,,,1.75,9.43,,,7,8,10
test_07359,"C _ { i j } ^ { s } = { \frac { 1 } { 2 \pi i } } \oint _ { \cal C } \Omega ^ { i + j - s } [ e _ { i } , e _ { j } ] .","\[C_{i j}^{\prime\prime}=\frac{1}{2\pi i}\oint_{\cal C}\Omega^{\dot{i}+\dot{j}-s}[\epsilon_{i_{j}}\,\mathbf{c}_{\dot{j}}].\]",,1.886,"\[C_{i j}^{\prime}=\frac{1}{2\pi i}\oint_{\cal C}\Omega^{\dot{+}\dot{j}-s}[\epsilon_{i_{j}}\,\varrho_{j}].\]","C_{ij}^s = \frac{1}{2\pi i} \oint_C \Omega^{i+j-s} [e_i, e_j].",,,1.726,7.384,,,2,2,10
test_04557,"T _ { \mathit { G } } ( - t , - t ^ { - 1 } ) = T _ { \mathit { G } ^ { \ast } } ( - t ^ { - 1 } , - t )","\[T_{G}(-t_{j}-t^{-1})=T_{G^{*}}(-t^{-1},-t)\]",,1.271,"\[T_{G}(-t_{j}-t^{-1})=T_{G^{*}}(-t^{-1},-t)\]","T_G(-t, -t^{-1}) = T_G \cdot (-t^{-1}, -t)",,,1.255,6.379,,,6,6,9
test_00106,H _ { c } = \Pi _ { a } ^ { 2 } - \frac { 1 } { 4 } \partial _ { i } n ^ { a } \partial ^ { i } n ^ { a },\[H_{\cal C}=\Pi_{a}^{2}-\frac{1}{4}\partial_{t}n^{a}\partial^{i}n^{a}\],,1.453,\[H_{\cal C}=\Pi_{a}^{2}-\frac{1}{4}\partial_{t}n^{a}\partial^{i}n^{a}\],H_c = \Pi_a^2 - \frac{1}{4} \partial_i n^a \partial^i n^a,,,1.464,7.671,,,6,6,9.5
test_02615,"\overline { { P } } = \varepsilon ^ { \mu , \mu } + \varepsilon ^ { \widetilde { \mu } , \widetilde { \mu } } P = \varepsilon ^ { 0 , 0 } + \frac 1 2 \varepsilon ^ { [ \mu \nu ] , [ \mu \nu ] } + \varepsilon ^ { \widetilde { 0 } , \widetilde { 0 } }",\[\overline{{P}}=\varepsilon^{\mu_{1}\mu}+\varepsilon^{\mu_{3}\mu}P=\varepsilon^{0.0}+\frac{1}{2}\varepsilon^{[\mu\nu]}_{|\mu\nu]}+\varepsilon^{0.0}\],,1.948,\[\overline{{P}}=\varepsilon^{\mu_{1}\mu}+\varepsilon^{\mu_{3}\mu}P=\varepsilon^{0.0}+\frac{1}{2}\varepsilon^{[\mu\nu]}_{!}|\mu\nu|\stackrel{{\scriptstyle\sim}\atop\rightarrow}\varepsilon^{0.0}\],"\overline{P} = \varepsilon^{\mu, \mu} + \varepsilon^{\mu, \mu} \overline{P} = \varepsilon^{0,0} + \frac{1}{2} \varepsilon^{[\mu\nu], [\mu\nu]} + \varepsilon^{\overline{0}, \overline{0}}",,,2.132,11.803,,,4,2,9
test_06924,\gamma = \mathrm { i } \oint _ { C } \langle \psi _ { g } | d | { \psi } _ { g } \rangle,\[\gamma=\mathrm{i}\oint_{C}\langle\forall g|d|\Phi g\rangle\],,1.232,\[\gamma=\mathrm{i}\oint_{C}\langle\forall g|d|\Phi g\rangle\],\gamma = i \oint_C \langle \psi_g | d | \psi_g \rangle,,,1.211,6.189,,,3,3,10
test_05574,"V _ { 2 } ( x ) = - { \frac { 1 } { 2 } } x ^ { 2 } - { \frac { \mu ^ { 2 } } { 2 x ^ { 2 } } } ,","\[V_{2}(\sigma)=-\frac{1}{2}\sigma^{2}\stackrel{{\scriptstyle2}}{{\longrightarrow}}\frac{{\mu}^{2}}{2\sigma^{2}}\,.\]",,1.524,\[V_{2}(\sigma)=-\frac{1}{2}\sigma^{2}\;\frac{\mu^{2}}{2x^{2}}\;.\],"V_2(x) = -\frac{1}{2}x^2 - \frac{\mu^2}{2x^2},",,,1.417,7.53,,,5,6,10
test_04552,"{ \cal O } = ( \chi , \Sigma ) - i \hbar \Delta \chi .",\[\begin{array}{r}{\mathcal{O}=\left(\chi_{\mathrm{r}}\Sigma\right)-\mathrm{i}\hbar\Delta\chi.}\end{array}\],,1.531,"\[\begin{array}{r}{\mathcal{O}=\left(\chi,\Sigma\right)-\mathrm{i}\hbar\Delta\chi.}\end{array}\]","\mathcal{O} = (\chi, \Sigma) - i \hbar \Delta \chi.",,,1.427,6.338,,,6,9,10
test_02547,g _ { \mu \nu } = \eta _ { \mu \nu } + e _ { \mu \nu } e ^ { i k x },\[g_{\mu\nu}\equiv\eta_{\mu\nu}+\mathrm{~}\mathcal{E}_{\mu\nu}\mathcal{E}^{\mathrm{i}k\mathbf{z}}\],,1.623,\[g_{\mu\nu}\equiv\eta_{\mu\nu}+\mathrm{~{}c_{\mu\nu}\mathrm{~{}c^{i k x}~{}}}\],g_{\mu\nu} = \eta_{\mu\nu} + e_{\mu\nu}e^{ikx},,,1.525,6.375,,,2,1,10
test_03527,0 = \mathbf { D } ^ { \ast } \mathbf { D } \phi ^ { m },\[0=\mathbf{D}^{\prime\prime}\mathbf{D}\phi^{m}\],,1.117,\[0=\mathbf{D}^{\prime\prime}\mathbf{D}\phi^{m}\],\mathbf{0} = \mathbf{D}^* \mathbf{D} \phi^m,,,1.141,5.801,,,6,6,10
test_05514,"t r _ { q } B = t r ( D B ) = q ^ { - 1 } b _ { 1 1 } + q b _ { 2 2 } \quad , \qquad D = d i a g ( q ^ { - 1 } , q ) .","\[v_{q}B=v r(D B)=q^{-1}b_{11}+q b_{22}\quad,\qquad D=d i a g(q^{-1},q).\]",,1.641,"\[v_{q}B=v r(D B)=q^{-1}b_{11}+q b_{22}\quad,\qquad D=d i a g(q^{-1},q).\]","tr_q B = tr(DB) = q^{-1}b_{11} + qb_{22} \quad , \quad D = diag(q^{-1}, q).",,,1.665,8.179,,,4,4,9.5
test_01674,\left. \frac { d V } { d \sigma } \right| _ { \sigma \rightarrow + 0 } \rightarrow - \frac { 1 } { L } .,\[\frac{d V}{d\sigma}\bigg{|}_{\sigma\to+0}\to-\frac{1}{L}.\],,1.333,\[\frac{d V}{d\sigma}\bigg{|}_{\sigma\rightarrow+0}\rightarrow-\frac{1}{L}.\],\frac{dV}{d\sigma} \bigg|_{\sigma \to +0} \to -\frac{1}{L}.,,,1.313,6.471,,,10,10,10
test_01519,"a ( t ) = b _ { 0 } t - \frac { b _ { 0 } g } { 9 } t ^ { 3 } + \frac { 1 } { 2 7 0 } \frac { b _ { 0 } g ^ { 2 } ( 7 b _ { 0 } ^ { 2 } + k ) } { ( b _ { 0 } ^ { 2 } + k ) } t ^ { 5 } + O ( t ^ { 7 } ) , \quad t \to 0 ,","\[a(t)=b_{0}t-\frac{b_{0}g}{9}t^{3}+\frac{1}{270}\frac{b_{0}g^{2}(7b_{0}^{2}+k)}{(b_{0}^{2}+k)}t^{5}+O(t^{7}),\quad t\rightarrow0,\]",,2.409,"\[a(t)=b_{0}t-\frac{b_{0}g}{9}t^{3}+\frac{1}{270}\frac{b_{0}g^{2}(7b_{0}^{2}+k)}{(b_{0}^{2}+k)}t^{5}+O(t^{7}),\quad t\rightarrow0,\]","a(t) = b_0 t - \frac{b_0 g}{9} t^3 + \frac{1}{270} \frac{b_0 g^2 (7 b_0^2 + k)}{(b_0^2 + k)} t^5 + O(t^7), \quad t \to 0,",,,2.382,8.03,,,10,10,10
test_06224,\frac { \ddot { a } } { a } = \frac { - 1 } { 3 M _ { P l } ^ { 2 } \sqrt { 1 + 4 \alpha \Lambda _ { b } / 3 M ^ { 5 } } } \bigg ( \frac { \rho _ { \mathrm { v i s } } } { 2 } ( 1 + \frac { 2 \rho _ { \mathrm { v i s } } } { \Lambda _ { 2 } ^ { + } } ) + \frac { 3 p _ { \mathrm { v i s } } } { 2 } ( 1 + \frac { \rho _ { \mathrm { v i s } } } { \Lambda _ { 2 } ^ { + } } ) \bigg ) > 0,\[\frac{\ddot{a}}{a}=\frac{-1}{3M_{P l}^{2}\sqrt{1+4\alpha\Lambda_{b}/3M^{5}}}\left(\frac{\rho_{\mathrm{vis}}}{2}(1+\frac{2\rho_{\mathrm{vis}}}{\Lambda_{2}^{+}})+\frac{3p_{\mathrm{vis}}}{2}(1+\frac{\rho_{\mathrm{vis}}}{\Lambda_{2}^{+}})\right)>0\],,3.014,\[\frac{\ddot{a}}{a}=\frac{-1}{3M_{P l}^{2}\sqrt{1+4\alpha\Lambda_{b}/3M^{5}}}\left(\frac{\rho_{\mathrm{vis}}}{2}(1+\frac{2\rho_{\mathrm{vis}}}{\Lambda_{2}^{+}})+\frac{3p_{\mathrm{vis}}}{2}(1+\frac{\rho_{\mathrm{vis}}}{\Lambda_{2}^{+}})\right)>0\],\frac{\ddot{a}}{a} = \frac{-1}{3M_{Pl}^2\sqrt{1+4\alpha\Lambda_b/3M^5}} \left( \frac{\rho_{\text{vis}}}{2} \left( 1 + \frac{2\rho_{\text{vis}}}{\Lambda_2^+} \right) + \frac{3\rho_{\text{vis}}}{2} \left( 1 + \frac{\rho_{\text{vis}}}{\Lambda_2^+} \right) \right) > 0,,,2.931,10.459,,,9,9,10
test_01584,"N _ { R _ { 1 } R _ { 2 } } ^ { \ell } = \sum _ { m } S _ { \Lambda _ { R _ { 2 } } \Lambda _ { m } } \left( { \frac { S _ { \Lambda _ { R _ { 1 } } \Lambda _ { m } } } { S _ { 0 { \Lambda _ { m } } } } } \right) S _ { \Lambda _ { m } \Lambda _ { \ell } } ^ { * } ,",\[N_{R_{1}R_{2}}^{{\cal{L}}}\equiv\sum_{m}{\cal{S}}_{\Lambda R_{2}}\Lambda_{m}\left(\frac{S_{\Lambda R_{1}}\Lambda_{m}}{S_{\mathrm{O}\Lambda_{m}}}\right){\cal{S}}_{\Lambda m}^{\bullet}\Lambda_{t^{\prime}}\],,2.465,\[N_{R_{1}R_{2}}^{f}=\sum_{m}\mathcal{S}_{\Lambda R_{2}}\Lambda_{m}\left(\frac{S_{\Lambda R_{1}}\Lambda_{m}}{S_{\mathrm{O}\Lambda_{m}}}\right)\mathcal{S}_{\Lambda m}^{\ast}\Lambda_{t^{\prime}}\],"N_{R_1 R_2}^\ell = \sum_m S_{\Lambda_{R_2} \Lambda_m} \left( \frac{S_{\Lambda_{R_1} \Lambda_m}}{S_{0 \Lambda_m}} \right) S_{\Lambda_m \Lambda_\ell}^*,",,,2.386,7.322,,,5,4,9.5
